formula,elements,formation_energy,decomposition_energy,band_gap,density,dimensionality,delta_hull
Tb3Y9Tc3Ir,"['Y', 'Tc', 'Tb', 'Ir']",-0.2134,-0.0215,0.0017,6.7323,3D,0.0215
Ho19Er(Bi5Sb)2,"['Sb', 'Ho', 'Er', 'Bi']",-0.7354,-0.0209,0.0052,10.0927,3D,0.0209
TbY5Ho10(CdPt)4,"['Y', 'Cd', 'Tb', 'Ho', 'Pt']",-0.6182,-0.008,,9.019,3D,0.008
YEr3GeBi5Rh7,"['Ge', 'Y', 'Rh', 'Er', 'Bi']",-0.6757,-0.0341,0.0148,11.4001,3D,0.0341
HoTm6Lu(Si4Mo3)4,"['Si', 'Mo', 'Ho', 'Tm', 'Lu']",-0.6964,-0.0044,0.002,8.1992,3D,0.0044
Tb14Ho2Cd4Co3Os,"['Co', 'Cd', 'Tb', 'Ho', 'Os']",-0.2547,-0.0024,0.0051,9.0582,3D,0.0024
TbDy5Ho2(ReC2)4,"['C', 'Tb', 'Dy', 'Ho', 'Re']",-0.4223,0.0001,,10.7015,3D,0.0001
Tb6PrEr(Si3Pd)4,"['Si', 'Pd', 'Pr', 'Tb', 'Er']",-0.8991,-0.0068,0.0019,7.034,3D,0.0068
LaNdCo2(NiAs2)2,"['Co', 'Ni', 'As', 'La', 'Nd']",-0.8112,-0.0103,0.0062,8.0695,3D,0.0103
Be11Si(NiRh)6,"['Be', 'Si', 'Ni', 'Rh']",-0.617,-0.009,0.0161,7.5289,intercalated ion,0.009
Ho8Er4Ni4SnPd,"['Ni', 'Pd', 'Sn', 'Ho', 'Er']",-0.4472,-0.0112,,9.2656,3D,0.0112
Tb(Lu3Sn2)3,"['Sn', 'Tb', 'Lu']",-0.6793,-0.0025,0.0016,9.4645,3D,0.0025
Er2Tm4TcIr,"['Tc', 'Er', 'Tm', 'Ir']",-0.3931,-0.0306,0.0061,10.489,3D,0.0306
HoEr3(Ta3Ge4)2,"['Ge', 'Ho', 'Er', 'Ta']",-0.6461,-0.0665,0.0012,11.529,3D,0.0665
Er3Ga5Rh,"['Ga', 'Rh', 'Er']",-0.7582,-0.0441,,8.9919,3D,0.0441
Pr15Er5Pb16,"['Pr', 'Er', 'Pb']",-0.5808,-0.0241,,8.9878,3D,0.0241
Sr14IrAu5,"['Sr', 'Ir', 'Au']",-0.4822,-0.0159,0.0096,5.237,intercalated ion,0.0159
TbCe2Y2CoBi2,"['Co', 'Y', 'Ce', 'Tb', 'Bi']",-0.5742,-0.0526,,8.2303,3D,0.0526
Y5Ho3Tc2(B12Os)2,"['B', 'Y', 'Tc', 'Ho', 'Os']",-0.6637,-0.064,0.0161,7.597,3D,0.064
